mp_id,formula,bandgap_eV,nsites,density_g_per_cm3,volume_per_atom_A3,spacegroup_number,crystal_system,nelements
mp-554381,Ca2VBiO6,3.0979,20,4.7431,15.2668,36,Orthorhombic,4
mp-29845,CsHgCl3,2.0,45,4.4726,32.661,145,Trigonal,3
mp-15558,Li3GaF6,6.364,60,3.4276,9.9089,15,Monoclinic,3
mp-17259,NaSrCrF6,2.0585,36,3.5146,14.5203,14,Monoclinic,4
mp-542045,UTlH(SeO4)2,2.1303,52,5.3537,17.4013,14,Monoclinic,5
mp-555851,Na2Cd3(P2O7)2,3.0538,23,4.0918,12.8997,2,Triclinic,4
mp-1200887,LiEu2CI3N2,1.0261,36,5.4547,24.7463,227,Cubic,5
mp-558669,SrAl2B2O7,4.6877,24,2.6573,14.3309,167,Trigonal,4
mp-12194,K2Zn2(MoO4)3,3.6629,76,3.5789,16.8212,14,Monoclinic,4
mp-3481,KSnAs,0.3352,6,4.0542,31.7743,186,Hexagonal,3
mp-18994,CsMnO4,2.2208,24,3.6496,19.0977,62,Orthorhombic,3
mp-1875,TeF6,4.3975,28,3.9703,14.4349,62,Orthorhombic,2
mp-557437,KBi(PS3)2,2.2272,20,3.2444,25.7144,4,Monoclinic,4
mp-1202577,Pr2ThS5,1.3807,32,5.8415,23.9557,62,Orthorhombic,3
mp-540796,Cs2Sn2O3,2.5267,28,4.7668,27.4321,62,Orthorhombic,3
mp-558894,Ba4Ti2PtO10,1.9973,34,6.2758,15.5663,64,Orthorhombic,4
mp-530331,Al6SnTe10,1.439,102,4.5506,33.4122,152,Trigonal,3
mp-2898,Ca(AuO2)2,1.6618,14,9.0478,13.057,88,Tetragonal,3
mp-1218894,Sr10P6O25,2.6772,41,4.0836,14.5005,143,Trigonal,3
mp-1020648,NaLaSiO4,4.5657,84,4.428,13.6062,33,Orthorhombic,4
mp-705801,Sm3MoO7,1.7639,44,7.2308,13.7583,19,Orthorhombic,3
mp-14425,Sr(GaS2)2,2.7974,56,3.5709,23.6047,70,Orthorhombic,3
mp-1196491,SbHSF10,4.8191,52,2.9183,15.0927,14,Monoclinic,4
mp-14214,Ba4SiP4,1.0893,72,4.1201,31.405,218,Cubic,3
mp-1095649,Sr2H3NO6,2.9533,12,3.4241,11.6499,189,Hexagonal,4
mp-976401,Ge3Rh2Se3,0.2973,32,6.9225,19.8079,148,Trigonal,3
mp-650960,Hf(ClO4)4,5.2834,42,3.0925,14.7356,9,Monoclinic,3
mp-558984,GaTeO3F,3.7146,24,5.4403,13.4464,14,Monoclinic,4
mp-18411,Na3GeSe3,1.8881,28,3.5126,25.561,14,Monoclinic,3
mp-14791,Ge2Te5As2,0.4092,9,6.1717,27.8961,164,Trigonal,3
mp-569267,Ca2CdSb2,0.319,20,4.8399,29.9234,62,Orthorhombic,3
mp-1197768,Ba2LiAl(CN2)4,4.1281,64,3.0919,15.7318,19,Orthorhombic,5
mp-3372,Rb2SO4,4.9943,28,3.6654,17.2798,62,Orthorhombic,3
mp-1210255,Na3Nd9B8O27,3.9569,47,5.427,12.2757,189,Hexagonal,4
mp-570044,NbI4,0.4775,20,5.135,38.8389,36,Orthorhombic,2
mp-1021330,Rb2Ge(S2O7)3,3.8101,60,2.6455,16.1516,147,Trigonal,4
mp-1210080,NdMg(BO2)5,5.9713,68,3.9772,9.3964,14,Monoclinic,4
mp-1210332,Na3TmBr6,4.4757,20,4.0956,29.0836,14,Monoclinic,3
mp-1198664,Cs3CaFe(P2O7)2,2.4361,92,3.5367,17.1989,19,Orthorhombic,5
mp-1209334,RbHo(WO4)2,3.4066,24,7.47,13.8207,15,Monoclinic,4
mp-27775,U(BiO3)2,1.3499,9,10.0408,13.818,164,Trigonal,3
mp-557856,BCl(OF2)2,1.9592,16,2.1962,14.5794,9,Monoclinic,4
mp-23331,Si3(BiO3)4,3.8979,38,6.824,14.2439,220,Cubic,3
mp-23660,KNa22C2S9ClO42,4.3533,154,2.654,12.716,176,Hexagonal,6
mp-1287635,NaFe2P2HO8,3.5545,28,2.7688,13.9494,2,Triclinic,5
mp-1200142,KPr(PO3)4,5.3956,36,3.3357,13.7143,4,Monoclinic,4
mp-14912,La4Si2Se3O7,2.2305,64,5.6462,17.6582,141,Tetragonal,4
mp-708961,BeH8SeO8,4.1041,72,1.9696,10.4934,64,Orthorhombic,4
mp-554517,NaMnF4,2.0519,12,3.3661,12.6551,14,Monoclinic,3
mp-1110982,Cs2NaCeF6,6.3611,10,4.366,20.6486,225,Cubic,4
mp-1203105,UH4(BrO2)2,1.6692,44,4.3172,16.2899,14,Monoclinic,4
mp-18262,HoAgS2,2.0621,32,6.2524,22.3708,92,Tetragonal,3
mp-32798,La2Se3,1.58,40,6.0451,28.2762,122,Tetragonal,2
mp-1202574,AgS2(O3F)2,0.1878,44,2.8039,16.4742,14,Monoclinic,4
mp-28549,Li8SiO6,4.4509,30,2.262,8.7902,185,Hexagonal,3
mp-1226414,Cs3H(SF6)2,4.4739,36,3.1321,20.3772,32,Orthorhombic,4
mp-34578,Ba4Y3F17,6.6616,48,5.2464,15.021,1,Triclinic,3
mp-1220683,NbSn6OF15,2.7399,46,4.6363,17.225,9,Monoclinic,4
mp-1197637,Sm6H44N8O51,3.0493,218,2.8529,10.01,2,Triclinic,4
mp-1196123,Nd2HfS5,1.0171,32,6.1112,21.3063,62,Orthorhombic,3
mp-1198288,Sn2Bi2O7,2.667,132,8.0472,14.3953,144,Trigonal,3
mp-989550,Rb2TlInCl6,2.3962,10,3.3431,34.9109,225,Cubic,4
mp-5370,ErNbO4,3.4799,12,7.4023,12.1197,15,Monoclinic,3
mp-1193960,Eu(DyS2)2,0.1116,28,5.9859,23.9848,62,Orthorhombic,3
mp-561067,KRb2FeF6,4.14,10,3.4268,18.4074,225,Cubic,4
mp-556400,Cs2K2TeO5,2.0249,40,4.3046,21.2788,136,Tetragonal,4
mp-19893,PbCO3,3.3293,20,6.604,13.4376,62,Orthorhombic,3
mp-1114071,Rb2InBiCl6,1.6916,10,3.1634,37.1355,225,Cubic,4
mp-1205354,Sc2Se3,0.6258,20,4.4553,24.3599,70,Orthorhombic,2
mp-24227,H8Pt(NCl3)2,1.7803,17,2.9376,14.7595,225,Cubic,4
mp-1019518,Ba2CaSi4(BO7)2,5.0218,46,3.5116,13.8301,121,Tetragonal,5
mp-1196062,Ca5(IO6)2,2.5413,114,4.2511,13.2847,167,Trigonal,3
mp-863695,PmI3,2.0525,8,4.0174,54.3242,194,Hexagonal,2
mp-694852,K5RbZn4Sn5S17,1.5614,32,2.8938,30.1482,1,Triclinic,5
mp-8934,Cs2SnAs2,0.7669,10,4.368,40.6291,72,Orthorhombic,3
mp-1017567,Hf2SN2,0.8851,5,9.8083,14.1216,164,Trigonal,3
mp-541282,KZr2(AsO4)3,3.996,36,3.4396,17.1199,167,Trigonal,4
mp-1006891,KSmSe2,1.8906,4,4.7621,30.2827,166,Trigonal,3
mp-557268,KLi4AlO4,4.149,80,2.2853,11.4689,14,Monoclinic,4
mp-554737,CsAu2F7,1.7962,20,5.901,18.5676,15,Monoclinic,3
mp-3247,Cs2TiS3,1.2724,12,3.5952,31.5517,63,Orthorhombic,3
mp-567329,CrHg6As4Br7,1.1436,72,7.0025,27.8573,205,Cubic,4
