mp_id,formula,nsites,density_g_per_cm3,volume_per_atom_A3,spacegroup_number,crystal_system,nelements
mp-1205672,KTl2CrF6,10,5.6577,18.0165,225,Cubic,4
mp-3788,SrAl4O7,24,3.2522,13.0855,15,Monoclinic,3
mp-1195045,WI4,120,5.0357,45.6024,60,Orthorhombic,2
mp-504897,CeP5O14,40,3.0524,14.1165,1,Triclinic,3
mp-555988,Na4UCr3O14,44,3.512,15.2584,2,Triclinic,4
mp-1213115,CsYbMnSe3,12,5.4226,30.5083,63,Orthorhombic,4
mp-30847,TiSnPt,3,10.1153,19.7902,216,Cubic,3
mp-14999,BaFeF5,56,4.4624,15.3186,14,Monoclinic,3
mp-1029572,CaTiN2,64,3.5712,13.4797,61,Orthorhombic,3
mp-571379,InGa2Cl7,40,2.8769,29.0001,33,Orthorhombic,3
mp-2761520,InAg3F6,20,6.2061,14.7806,14,Monoclinic,3
mp-989622,BaWN3,20,7.0919,17.0077,14,Monoclinic,3
mp-699498,U2CuP2(HO)24,106,3.1992,9.8887,126,Tetragonal,5
mp-560324,Rb3Hg2S3ClO12,42,4.1949,18.4961,4,Monoclinic,5
mp-30213,Sb2BrF15,72,4.0983,13.695,14,Monoclinic,3
mp-31166,DyTlS2,4,6.8498,26.1217,166,Trigonal,3
mp-542445,K2PaF7,20,4.8476,15.1482,15,Monoclinic,3
mp-733637,NaH8O5,56,1.6702,7.8862,15,Monoclinic,3
mp-9569,Ca(ZnP)2,5,4.0643,19.0264,164,Trigonal,3
mp-16032,Pr2TeO2,5,6.712,21.8411,139,Tetragonal,3
mp-1078552,Li2H6Pt,9,4.8567,8.1683,225,Cubic,3
mp-1017508,LuTlTe2,4,7.8162,33.7022,166,Trigonal,3
mp-570622,NaGa3Se5,144,4.3458,26.6179,19,Orthorhombic,3
mp-4511,La2SO2,5,5.739,19.7837,164,Trigonal,3
mp-555747,Lu2WO6,36,9.9187,11.7148,13,Monoclinic,3
mp-8346,Lu2Ge2O7,44,7.4155,12.361,92,Tetragonal,3
mp-728493,RbVH4(OF2)2,48,2.9768,11.5487,15,Monoclinic,5
mp-571124,Cs2KScCl6,10,2.7438,34.0476,225,Cubic,4
mp-23493,Ce(IO3)4,34,5.3187,15.4216,86,Tetragonal,3
mp-28179,NaTaCl6,32,3.2274,26.7966,14,Monoclinic,3
mp-1209439,Rb8Ta6O19,33,5.3684,19.4347,87,Tetragonal,3
mp-1226269,Cs4Fe(MoO4)3,40,4.0469,21.8964,9,Monoclinic,4
mp-505712,CsHoZnSe3,12,5.5007,30.1939,63,Orthorhombic,4
mp-10644,TaTl3Se4,8,7.2893,31.6064,217,Cubic,3
mp-5967,TiCoSb,3,7.557,16.7408,216,Cubic,3
mp-3038,Al2HgSe4,7,5.17,26.172,82,Tetragonal,3
mp-1200457,KMn6As7O24,76,4.0639,13.7332,11,Monoclinic,4
mp-1210682,Na3Li3Rh2F12,80,3.4152,12.7287,230,Cubic,4
mp-16381,NaMn6P7O24,76,3.3873,12.2998,11,Monoclinic,4
mp-554669,Ba3Ta2CdO9,15,7.5715,15.0638,164,Trigonal,4
